"
			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.
			Please add a stock quantity of {4} to proceed with this entry.
			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.
			However, enabling this setting may lead to negative stock in the system.
			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","تحتوي الدفعة {0} من العنصر {1} على مخزون سالب في المستودع {2}{3}.
			برجاء إضافة كمية مخزون قدرها {4} لمتابعة هذا الإدخال.
			إذا لم يكن من الممكن إجراء إدخال تعديل، فيرجى تمكين ""السماح بالمخزون السلبي للدفعة"" في إعدادات المخزون للمتابعة.
			ومع ذلك، فإن تمكين هذا الإعداد قد يؤدي إلى مخزون سلبي في النظام.
			لذا يرجى التأكد من تعديل مستويات المخزون في أقرب وقت ممكن للحفاظ على معدل التقييم الصحيح.",
 Address,العنوان,
 Amount,المبلغ,
 BOM,بوم,
 Default Work In Progress Warehouse , افتراضي العمل في مستودع التقدم ,
 Is Child Table,هو جدول الطفل,
 Is Subcontracted,يتم التعاقد الفرعي,
 Item,البند,
 Name,الاسم,
 Phantom Item,العنصر الوهمي,
 Rate,معدل,
 Raw Material,المواد الخام,
 Skip Material Transfer,تخطي نقل المواد,
 Sub Assembly,الجمعية الفرعية,
 Summary,ملخص,
"""Customer Provided Item"" cannot be Purchase Item also","""الأصناف المقدمة من العملاء"" لا يمكن شرائها",
"""Customer Provided Item"" cannot have Valuation Rate","""الأصناف المقدمة من العملاء"" لا يمكن ان تحتوي على تكلفة",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""اصل ثابت"" لا يمكن أن يكون غير محدد، حيث يوجد سجل أصول مقابل البند",
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" من ""SN-01"" إلى ""SN-10""",
# In Stock,# في المخزون,
# Req'd Items,# العناصر المطلوبة,
%  Delivered,% تم التسليم,
% Amount Billed,% المبلغ المفوتر,
% Billed,% الفاتورة,
% Complete Method,% طريقة كاملة,
% Completed,% مكتمل,
% Delivered,% تسليم,
% Finished Item Quantity,% كمية السلعة النهائية,
% Installed,% تم التثبيت,
% Occupied,% مشغولة,
% Of Grand Total,% من الإجمالي الكلي,
% Ordered,% تم طلبه,
% Picked,% مختارة,
% Process Loss,% خسارة العملية,
% Produced,% المنتجة,
% Progress,التقدم %,
% Raw Material Received,نسبة المواد الخام المستلمة,
% Raw Material Returned,نسبة المواد الخام التي تم إرجاعها,
% Received,% تم استلامه,
% Returned,% تم إرجاعه,
% of materials billed against this Sales Order,النسبة المئوية للمواد التي تمت فوترتها مقابل أمر المبيعات هذا,
% of materials delivered against this Pick List,النسبة المئوية للمواد التي تم تسليمها وفقًا لقائمة الاختيار هذه,
% of materials delivered against this Sales Order,النسبة المئوية للمواد التي تم تسليمها مقابل أمر المبيعات هذا,
'Account' in the Accounting section of Customer {0},"""الحساب"" في قسم المحاسبة للعميل {0}",
'Allow Multiple Sales Orders Against a Customer's Purchase Order',"""السماح بأوامر مبيعات متعددة مقابل أمر شراء خاص بالعميل""",
